name,id,pinyin
广电信息,600637,ān diàn shēn xī
新黄浦,600638,xīn huánɡ pǔ
浦东金桥,600639,pǔ dōnɡ jīn qiáo
中卫国脉,600640,zhōnɡ wèi ɡuó mài
万业企业,600641,mò yè qǐ yè
申能股份,600642,shēn nái ɡǔ bīn
爱建股份,600643,ài jiàn ɡǔ bīn
乐山电力,600644,lè shān diàn lì/li
ST中源,600645,S T zhōnɡ yuán
同达创业,600647,tóng dá chuānɡ yè
外高桥,600648,wài ɡāo qiáo
城投控股,600649,chénɡ dòu kōnɡ ɡǔ
锦江投资,600650,jǐn jiānɡ dòu zī
飞乐音响,600651,fēi lè yīn xiǎnɡ
爱使股份,600652,ài shǐ ɡǔ bīn
申华控股,600653,shēn huá kōnɡ ɡǔ
飞乐股份,600654,fēi lè ɡǔ bīn
豫园商城,600655,shū wán shānɡ chénɡ
ST方源,600656,S T fānɡ yuán
信达地产,600657,shēn dá de chǎn
电子城,600658,diàn zǐ chénɡ
福耀玻璃,600660,fú yào bō lí
新南洋,600661,xīn nā xiánɡ
强生控股,600662,jiànɡ shēnɡ kōnɡ ɡǔ
陆家嘴,600663,liù ɡū zuǐ
哈药股份,600664,hā yào ɡǔ bīn
天地源,600665,tiān de yuán
西南药业,600666,xī nā yào yè
太极实业,600667,tā jí shí yè
尖峰集团,600668,jiān fēnɡ jí qiú
天目药业,600671,tiān mù yào yè
东阳光铝,600673,dōnɡ yánɡ ɡuānɡ lǚ
川投能源,600674,chuān dòu nái yuán
中华企业,600675,zhōnɡ huá qǐ yè
交运股份,600676,jiāo yǔn ɡǔ bīn
航天通信,600677,hánɡ tiān tōng shēn
*ST金顶,600678,* S T jīn dǐnɡ
金山开发,600679,jīn shān kāi fā
上海普天,600680,shǎnɡ hǎi pǔ tiān
南京新百,600682,nā jīnɡ xīn bǎi
京投银泰,600683,jīnɡ dòu yín tài
珠江实业,600684,zhū jiānɡ shí yè
广船国际,600685,ān chuán ɡuó jì
金龙汽车,600686,jīn lónɡ ɡài chē
刚泰控股,600687,ɡānɡ tài kōnɡ ɡǔ
S上石化,600688,S shǎnɡ dàn huā
上海三毛,600689,shǎnɡ hǎi sān máo
青岛海尔,600690,jīnɡ dǎo hǎi ěr
*ST东碳,600691,* S T dōnɡ tàn
亚通股份,600692,yà tōng ɡǔ bīn
东百集团,600693,dōnɡ bǎi jí qiú
大商股份,600694,dà shānɡ ɡǔ bīn
大江股份,600695,dà jiānɡ ɡǔ bīn
多伦股份,600696,duō lún ɡǔ bīn
欧亚集团,600697,ōu yà jí qiú
ST轻骑,600698,S T qīng qí
*ST得亨,600699,* S T dé hēnɡ
工大高新,600701,ɡōnɡ dà ɡāo xīn
沱牌曲酒,600702,chí pái qū jiǔ
三安光电,600703,sān ān ɡuānɡ diàn
中大股份,600704,zhōnɡ dà ɡǔ bīn
ST长信,600706,S T chánɡ shēn
彩虹股份,600707,cǎi ɡònɡ ɡǔ bīn
海博股份,600708,hǎi bó ɡǔ bīn
常林股份,600710,chánɡ lín ɡǔ bīn
